,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT
5866,7,6,2,80,1,1,0,0,0,0,0,0,0,3,1,1,0,1,0,0,68,5,0,0,2,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,1,0,0,-1,-1,1,1,1,-1
168,2,0,2,86,4,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,25,54,0,0,0,0,0.0884955752,0.72,0,1,0,0,0,0.0796460177,0,0,0,0,0,1,0,0,1,-1,-1,1,0,1
2588,2,0,4,61,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,46,0,0,0,0,0.1494252874,0.0120481928,0,1,0,1,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
5905,8,7,2,123,1,1,0,0,0,0,1,0,0,13,1,1,0,1,1,0,65,4,46,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1
9529,3,1,1,51,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,18,0,0,0,1,1.0,0.3846153846,1,1,0,1,0,0.0,1,0,0,0,0,1,0,0,1,1,1,0,0,-1
6384,4,2,4,180,1,0,0,0,0,2,8,0,0,24,1,0,0,0,0,0,26,26,120,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,-1,1,1,1,1
7824,1,0,2,108,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,84,0,0,0,0,0.145,0.8,0,0,0,0,0,0.02,0,0,0,0,1,0,0,0,1,-1,-1,1,0,1
9779,2,0,2,67,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,10,33,16,0,0,1,0.1176470588,0.0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
4629,1,0,3,84,7,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,11,66,0,0,0,0,0.1509433962,0.8888888889,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,1
8560,2,1,3,51,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,27,17,0,0,0,0,0.0,0.0714285714,1,1,0,0,0,1.0,0,0,0,0,0,1,0,0,1,1,1,1,1,-1
9291,2,0,5,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,30,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
6874,2,0,4,143,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,122,0,0,0,0,0.0134228188,0.2407407407,0,1,0,0,0,0.0604026846,0,0,0,0,0,1,0,1,1,-1,1,1,0,1
6521,3,0,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,16,0,0,0,0,0.0,0.0714285714,1,1,0,0,0,1.0,0,0,0,0,0,1,0,0,1,1,1,1,1,-1
8979,1,0,3,101,11,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,76,0,0,0,0,0.102739726,0.6666666667,0,1,1,1,0,0.0136986301,0,0,0,0,0,1,0,0,1,-1,-1,0,0,1
6647,2,1,3,50,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,17,26,0,0,0,0,0.75,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1
9825,2,0,1,65,0,0,0,0,0,0,4,3,0,3,1,0,0,0,0,0,9,19,29,0,0,0,0.2,1.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,1
210,6,1,6,103,0,0,0,0,0,0,0,0,0,19,1,1,0,0,1,0,12,84,0,0,2,0,0.0,0.2631578947,0,1,1,0,0,0.9230769231,0,0,0,0,0,0,0,0,1,-1,1,1,0,-1
5278,2,1,3,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,11,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1919,1,0,2,101,6,0,0,0,0,3,1,0,0,13,1,0,0,0,0,0,13,18,62,0,0,0,0.0,0.5,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
718,2,1,0,71,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23,1,39,0,0,0,0.0092592593,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
4868,3,1,3,58,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,13,24,13,0,0,0,0.1173469388,0.1777777778,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
7834,1,0,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,4,0,0,0,0,0.9411764706,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1
1298,2,0,5,101,0,0,0,0,5,0,0,0,0,6,1,1,0,0,1,0,18,76,0,0,0,0,0.0,0.35,0,0,0,0,0,0.009478673,0,0,0,0,0,1,0,0,1,-1,0,1,0,1
9193,2,0,3,92,5,0,0,0,1,0,0,0,0,7,1,1,0,0,1,0,21,64,0,0,0,0,0.1235955056,0.0263157895,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,1,1
4617,2,0,2,46,0,0,0,0,0,0,1,0,0,4,1,1,0,0,1,0,13,17,8,0,0,0,0.3260869565,0.3529411765,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
3128,1,0,3,47,3,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,8,32,0,0,0,0,0.096,0.2222222222,0,1,0,0,0,0.008,0,0,0,0,1,0,0,0,1,1,1,1,0,1
9795,3,1,1,57,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,20,16,13,0,0,0,0.1111111111,0.4444444444,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
3979,4,1,3,86,0,0,0,0,0,0,1,0,0,12,1,0,0,0,1,0,22,23,33,0,0,0,0.0,0.6666666667,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1
9924,2,0,4,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,23,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
8317,2,1,2,46,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,17,15,6,0,0,0,0.1428571429,0.5205479452,0,1,1,0,0,0.0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
4393,2,1,5,58,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,19,32,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1287,1,0,3,77,5,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,15,55,0,0,0,0,0.0469798658,0.1089108911,0,1,0,0,0,0.0067114094,0,0,0,0,0,1,0,0,1,-1,1,1,0,1
4355,2,0,5,145,0,0,0,0,0,0,1,0,0,71,1,1,0,0,0,0,15,57,65,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1
7013,1,0,6,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,47,0,0,0,0,0.1935483871,0.1568627451,0,0,0,0,0,0.0806451613,0,0,0,0,0,1,0,0,1,0,1,1,0,1
3885,4,1,3,57,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,22,28,0,0,1,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,-1,1,-1,-1
5749,2,1,10,164,2,0,0,0,12,0,0,0,0,9,1,1,0,0,1,0,14,143,0,0,0,0,0.0,0.1590909091,0,1,1,0,1,0.0588235294,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1
9169,1,0,2,58,2,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,22,29,0,0,0,0,0.0107142857,0.5909090909,0,1,0,0,0,0.1,0,0,0,0,0,1,0,0,1,0,-1,1,0,1
2407,4,1,4,70,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,45,0,0,0,0,0.0,0.9743589744,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,1
2013,3,1,3,70,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,31,32,0,0,0,0,0.1156069364,1.0,1,1,0,0,0,0.0115606936,0,0,0,0,0,1,0,0,1,0,-1,1,-1,1
5153,3,1,2,46,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,14,25,0,0,0,0,0.1212121212,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8551,2,1,5,66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,30,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,-1,1,1,-1
4376,3,1,2,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,17,17,8,0,0,0,0.2083333333,0.328358209,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
8822,1,0,2,50,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,18,8,16,0,0,0,0.0769230769,0.2894736842,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
4273,2,1,3,55,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,29,0,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
5825,3,0,6,75,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,16,52,0,0,1,0,1.0,0.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,1,-1
6699,1,0,3,70,6,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,11,52,0,0,0,0,0.2409638554,1.0,1,1,1,0,0,0.0240963855,0,0,0,0,1,1,0,0,1,0,-1,1,-1,1
7243,2,1,2,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32,15,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
449,3,1,3,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,30,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,-1,1,1,-1
2227,4,1,1,63,0,0,0,0,1,0,2,0,0,7,1,0,0,0,0,0,16,10,29,0,0,0,0.0,0.0869565217,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
5756,2,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0.3783783784,0.3333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
810,2,0,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,12,0,0,0,0,0.0,0.1538461538,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4180,2,0,5,96,1,0,0,0,1,0,1,0,0,17,1,1,0,0,0,0,21,49,18,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,-1,1,1,1,1
9000,1,0,1,83,4,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,37,39,0,0,0,0,0.1142857143,0.0357142857,0,1,1,0,0,0.0095238095,0,0,0,0,1,0,0,0,1,-1,1,1,1,1
5438,1,0,4,63,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,39,0,0,0,0,0.1294117647,0.0617283951,0,1,1,0,0,0.0,0,0,0,0,1,1,0,0,1,0,1,1,1,1
7533,2,0,1,70,0,0,0,0,0,0,3,2,0,7,1,0,0,0,0,0,19,10,33,0,0,0,0.0146604938,0.2777777778,0,1,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
6369,4,1,4,68,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,40,0,0,0,0,0.0,0.2857142857,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,-1,1
8416,3,1,3,67,2,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,29,31,0,0,0,0,0.6129032258,0.9756097561,0,1,0,0,0,0.0107526882,0,0,0,0,0,1,0,0,1,0,-1,1,-1,0
1477,1,0,3,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,13,0,0,0,0,0.6,0.0555555556,1,1,0,0,0,0.4,0,0,0,0,0,1,0,0,1,1,1,1,0,-1
1790,2,1,3,51,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,24,20,0,0,0,0,0.0425531915,0.2704918033,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1
2008,2,1,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,8,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
682,1,0,3,99,9,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,13,79,0,0,0,0,0.0303030303,0.3928571429,0,0,0,0,0,0.103030303,0,0,0,0,0,1,0,0,1,-1,1,1,0,1
2816,2,0,2,98,1,0,0,0,1,1,4,3,0,8,1,0,0,0,1,0,19,13,58,0,0,0,0.045045045,0.3571428571,0,1,1,0,0,0.0,0,0,0,0,1,1,0,0,1,-1,0,1,0,1
9431,4,1,4,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,28,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
3774,3,1,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,12,0,0,0,0,0.6764705882,0.0,0,0,0,0,0,0.0147058824,1,0,0,0,0,0,0,0,1,1,1,1,1,-1
6495,3,1,2,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,20,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
8878,2,1,5,87,6,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,18,62,0,0,0,0,0.1818181818,0.425,0,1,1,0,1,0.0454545455,0,0,0,0,1,1,0,0,1,-1,-1,-1,0,1
7361,2,1,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0.1162790698,0.9268292683,0,1,0,0,0,0.0084566596,0,0,0,0,0,1,0,0,1,1,-1,1,0,1
8366,2,0,2,44,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,11,17,8,0,0,0,0.0029585799,0.0693069307,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
7474,3,2,6,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,23,51,0,0,0,0,0.0084745763,0.012345679,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,-1,1,1,1,1
46,6,0,6,188,6,0,0,0,0,0,0,0,0,43,1,1,0,0,1,0,25,156,0,0,1,0,0.8181818182,0.1739130435,1,1,0,0,0,0.0909090909,0,0,0,0,0,1,0,0,1,-1,1,1,0,-1
30,3,1,5,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,28,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8250,6,4,4,62,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,28,27,0,0,2,0,0.7857142857,0.0588235294,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1
6935,2,1,2,25,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,11,7,0,0,0,0,0.0487804878,0.2380952381,0,1,0,0,0,0.1463414634,0,0,0,0,1,1,0,0,1,1,1,1,0,1
1468,3,0,4,59,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,11,41,0,0,0,0,0.7857142857,0.9411764706,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,-1
1665,1,0,2,41,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,18,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0020833333,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1416,2,0,2,41,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,12,22,0,0,0,0,0.1268656716,0.8181818182,0,0,0,0,0,0.0223880597,0,0,0,0,0,1,0,0,1,1,-1,1,0,1
6480,2,0,5,93,7,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,7,79,0,0,0,0,0.3734939759,0.3428571429,0,1,1,0,0,0.0120481928,0,0,0,0,0,0,0,0,1,-1,1,1,0,0
4852,2,0,7,211,1,1,0,0,1,0,3,2,0,28,1,1,0,0,0,0,28,47,128,0,1,0,0.0,0.3333333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
2470,4,1,4,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,15,34,0,0,0,1,1.0,0.1666666667,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,-1
4373,1,0,3,77,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,19,32,18,0,0,0,0.1666666667,0.9333333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1
8524,1,0,4,54,1,0,0,0,0,0,0,0,0,15,1,1,0,0,1,0,18,29,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
429,2,1,5,59,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,20,32,0,0,0,0,0.0317460317,0.1958762887,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
5244,1,0,4,90,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,71,0,0,0,0,0.15,0.1739130435,0,0,0,1,0,0.0214285714,0,0,0,0,1,0,0,0,1,-1,1,0,0,1
2119,4,2,2,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,25,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
385,1,0,5,73,4,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,19,47,0,0,0,0,0.1505376344,1.0,1,1,1,0,0,0.0430107527,0,0,0,0,0,1,0,0,1,0,-1,1,-1,1
1945,2,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0.0588235294,0.4,1,1,0,0,0,0.8235294118,0,0,0,0,0,0,0,0,1,1,-1,1,0,-1
4224,2,1,11,133,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,0,18,108,0,0,0,0,0.75,0.5909090909,0,1,0,0,0,0.1666666667,1,0,0,0,0,1,0,0,1,-1,-1,1,0,-1
473,2,1,2,43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,17,0,0,0,0,0.1879699248,0.5882352941,0,1,0,0,0,0.007518797,0,0,0,0,0,1,0,0,1,1,-1,1,0,1
2129,5,1,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,22,0,0,0,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,1,-1,-1
6556,3,1,1,86,0,0,0,0,3,0,2,1,0,4,1,0,0,0,0,0,29,10,39,0,0,0,0.04,0.0833333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1
6998,2,0,2,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,18,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,1,0,1,1,-1,1,1,-1
1055,2,1,4,46,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,22,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3274,1,0,2,74,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,59,0,0,0,0,0.1782178218,0.75,0,0,0,0,0,0.0396039604,0,0,0,0,1,0,0,0,1,0,-1,1,0,1
4961,2,0,2,67,0,0,0,0,0,0,2,1,0,8,1,0,0,0,1,0,18,19,22,0,0,0,0.1071428571,0.4888888889,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
5363,3,1,1,68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,18,10,0,1,0,0.0227272727,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,1
5816,3,0,2,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,19,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
811,2,0,4,78,0,0,0,1,0,0,0,0,0,22,1,1,0,0,1,0,22,49,0,0,0,0,0.0,0.1875,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,-1
4573,3,1,3,76,7,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,11,58,0,0,0,0,0.0690909091,0.9152542373,0,0,0,0,0,0.0363636364,0,0,0,0,1,1,0,0,1,-1,-1,1,-1,1
6137,2,1,0,55,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,34,1,12,0,0,0,0.0,0.5,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,-1,1,1,1
2388,2,0,3,133,2,0,0,0,7,0,2,2,0,8,1,1,0,0,1,0,13,25,87,0,0,0,0.0,0.3333333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1
9648,3,0,6,95,1,0,0,0,0,0,0,0,0,21,1,1,0,0,1,0,15,73,0,0,2,0,0.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,1
6225,1,0,5,82,8,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,12,63,0,0,0,0,0.2608695652,0.2592592593,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1
111,5,1,8,72,0,0,0,0,0,0,0,0,0,26,1,1,0,0,1,0,11,54,0,0,0,1,0.0,0.0153846154,0,1,1,0,1,0.0039370079,0,0,0,0,0,1,0,0,1,0,1,-1,1,1
8909,2,0,4,73,1,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,13,53,0,0,0,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,-1,1,-1,-1
1745,2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,0,0,0,0,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1
7851,2,1,3,46,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,15,24,0,0,0,0,0.1063829787,0.625,0,1,1,0,0,0.170212766,0,0,0,0,0,1,0,0,1,1,1,1,-1,1
1452,4,1,1,38,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,22,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
319,2,1,1,119,10,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,19,41,51,0,0,0,0.0,0.5833333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
8593,3,0,4,96,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,15,74,0,0,0,1,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,-1,1,1,-1,-1
